"Satellites","Width","Dark","GoodSpine","Rep1","Rep2"
8,28.3,"no","no",2,2
0,22.5,"yes","no",4,5
9,26,"no","yes",5,6
0,24.8,"yes","no",6,6
4,26,"yes","no",6,8
0,23.8,"no","no",8,8
0,26.5,"no","yes",9,9
0,24.7,"yes","yes",9,11
0,23.7,"no","yes",10,12
0,25.6,"yes","no",10,13
0,24.3,"yes","no",11,13
0,25.8,"no","no",11,15
11,28.2,"no","no",13,15
0,21,"yes","yes",15,15
14,26,"no","yes",15,16
8,27.1,"no","yes",15,17
1,25.2,"no","no",15,17
1,29,"no","no",15,18
0,24.7,"yes","no",17,19
5,27.4,"no","no",18,20
4,23.2,"no","yes",19,23
3,25,"no","yes",19,24
1,22.5,"no","yes",19,24
2,26.7,"yes","no",20,24
3,25.8,"yes","no",20,25
0,26.2,"yes","no",21,25
3,28.7,"no","no",21,26
5,26.8,"no","yes",22,26
0,27.5,"yes","no",23,27
0,24.9,"no","no",25,28
4,29.3,"no","yes",25,29
0,25.8,"no","no",26,30
0,25.7,"no","yes",27,30
8,25.7,"no","yes",27,32
5,26.7,"no","yes",28,33
0,23.7,"yes","no",29,34
0,26.8,"no","no",29,38
6,27.5,"no","no",31,39
0,23.4,"yes","no",33,39
6,27.9,"no","no",33,41
3,27.5,"yes","no",36,42
5,26.1,"no","yes",39,47
6,27.7,"no","yes",40,48
5,30,"no","yes",40,49
9,28.5,"yes","yes",41,49
4,28.9,"yes","no",42,51
6,28.2,"no","no",43,54
4,25,"no","no",44,55
3,28.5,"no","no",45,55
3,30.3,"no","yes",45,56
5,24.7,"yes","no",49,57
5,27.7,"no","no",50,59
6,27.4,"no","yes",51,59
4,22.9,"no","no",53,62
5,25.7,"no","yes",55,63
15,28.3,"no","no",55,65
3,27.2,"no","no",56,67
3,26.2,"yes","no",56,68
0,27.8,"no","yes",56,69
0,25.5,"yes","no",58,69
0,27.1,"yes","no",59,70
5,24.5,"yes","no",59,73
3,27,"yes","yes",60,75
5,26,"no","no",60,76
1,28,"no","no",62,76
8,30,"no","no",63,77
10,29,"no","no",64,78
0,26.2,"no","no",64,79
0,26.5,"no","yes",64,81
3,26.2,"no","no",65,82
7,25.6,"yes","no",66,83
1,23,"yes","no",66,84
0,23,"yes","no",67,85
6,25.4,"no","no",68,85
0,24.2,"yes","no",70,85
0,22.9,"no","yes",70,86
3,26,"yes","yes",71,87
4,25.4,"no","no",74,88
0,25.7,"yes","no",75,89
5,25.1,"no","no",76,91
0,24.5,"yes","yes",76,92
0,27.5,"yes","no",77,92
0,23.1,"yes","no",79,92
4,25.9,"yes","yes",79,92
0,25.8,"no","no",79,96
3,27,"yes","no",80,98
0,28.5,"no","no",80,98
0,25.5,"yes","yes",81,99
0,23.5,"yes","no",82,100
0,24,"no","yes",83,101
5,29.7,"no","yes",83,101
0,26.8,"no","yes",84,102
0,26.7,"yes","no",87,103
0,28.7,"no","yes",88,104
0,23.1,"yes","no",88,104
1,29,"no","yes",91,104
0,25.5,"yes","no",92,105
1,26.5,"yes","no",95,107
1,24.5,"yes","no",97,107
1,28.5,"yes","no",97,107
1,28.2,"no","no",97,108
1,24.5,"no","no",98,109
1,27.5,"no","no",98,109
4,24.7,"no","yes",99,110
1,25.2,"no","yes",100,111
1,27.3,"yes","no",100,111
1,26.3,"no","no",101,111
1,29,"no","no",101,112
2,25.3,"no","no",103,112
4,26.5,"no","no",103,112
3,27.8,"no","no",103,113
6,27,"no","no",106,113
0,25.7,"yes","no",107,115
2,25,"no","no",107,116
2,31.9,"no","no",111,117
0,23.7,"yes","no",112,120
12,29.3,"yes","no",112,122
0,22,"yes","no",113,123
5,25,"no","no",113,123
6,27,"yes","no",116,124
6,23.8,"yes","no",116,124
2,30.2,"no","yes",117,125
0,26.2,"yes","no",117,125
2,24.2,"no","no",120,126
3,27.4,"no","no",122,128
0,25.4,"no","yes",122,130
3,28.4,"yes","no",122,131
4,22.5,"yes","no",124,131
2,26.2,"no","no",125,131
6,24.9,"no","yes",126,131
6,24.5,"no","yes",127,132
0,25.1,"no","no",128,133
4,28,"no","yes",128,133
10,25.8,"yes","no",129,134
7,27.9,"no","no",130,134
0,24.9,"no","no",131,136
5,28.4,"no","yes",133,137
5,27.2,"yes","no",134,138
6,25,"no","yes",134,139
6,27.5,"no","no",135,139
7,33.5,"no","yes",141,141
3,30.5,"no","no",144,143
3,29,"yes","no",146,144
0,24.3,"no","yes",147,144
0,25.8,"no","no",147,145
8,25,"yes","no",153,145
4,31.7,"no","yes",153,150
4,29.5,"no","no",154,150
10,24,"yes","no",154,150
9,30,"no","no",155,152
4,27.6,"no","no",155,152
0,26.2,"no","no",155,153
0,23.1,"no","yes",156,154
0,22.9,"no","yes",157,155
0,24.5,"yes","no",157,155
4,24.7,"no","no",161,156
0,28.3,"no","no",163,157
2,23.9,"no","no",163,157
0,23.8,"yes","no",164,158
4,29.8,"yes","yes",164,159
4,26.5,"no","no",164,160
3,26,"no","no",165,161
8,28.2,"no","no",167,163
0,25.7,"yes","no",168,163
7,26.5,"no","no",168,166
0,25.8,"no","no",169,167
0,24.1,"yes","no",170,169
2,26.2,"yes","no",170,170
3,26.1,"yes","no",170,172
4,29,"yes","no",171,173
0,28,"no","yes",171,173
0,27,"yes","no",173,173
0,24.5,"no","yes",173,173
