TravelMode,GcostAir,GcostBus,GcostCar,GcostTrain,TtimeAir,TtimeBus,TtimeCar,TtimeTrain,HincAir,PsizeAir
car,70,70,30,71,69,35,0,34,35,1
car,68,85,50,84,64,53,0,44,30,2
car,129,149,101,195,69,35,0,34,40,1
car,59,81,32,79,64,53,0,44,70,3
car,82,94,99,93,64,53,0,44,45,2
train,70,58,43,57,69,35,0,40,20,1
air,160,167,125,213,45,35,0,34,45,1
car,137,146,135,149,69,35,0,34,12,1
car,70,70,40,71,69,35,0,34,40,1
car,65,68,30,69,69,35,0,34,70,2
car,68,73,36,70,64,53,0,44,15,2
car,79,91,44,90,64,53,0,44,35,2
car,63,83,41,81,64,53,0,44,50,4
car,72,86,58,85,64,53,0,44,40,1
car,109,189,199,214,64,53,0,44,26,4
train,73,72,52,55,69,35,0,20,26,1
train,69,68,47,66,69,35,0,15,26,1
train,76,63,53,54,69,35,0,20,6,1
train,75,63,62,51,69,35,0,45,20,1
train,72,78,57,75,64,53,0,10,72,2
train,69,58,47,54,69,35,0,20,6,1
train,98,111,98,116,64,53,0,45,10,2
air,153,96,96,136,90,35,0,34,50,1
air,132,95,96,135,50,35,0,34,50,1
air,92,56,41,55,15,35,0,34,18,2
air,106,185,223,231,30,53,0,44,60,1
air,87,100,102,140,80,35,0,34,45,1
air,106,135,109,139,45,53,0,44,18,2
train,101,74,58,91,64,53,0,60,8,2
train,70,58,44,42,69,35,0,2,6,1
train,70,70,45,50,69,35,0,5,20,1
train,73,73,54,67,69,35,0,15,45,1
train,70,86,57,73,64,53,0,45,70,2
train,70,62,50,63,69,35,0,10,4,1
train,75,67,46,50,69,35,0,15,40,1
train,73,71,50,58,69,35,0,10,35,1
train,90,98,76,79,64,53,0,45,40,2
train,60,73,53,71,64,53,0,30,4,3
train,71,84,57,80,64,53,0,55,15,4
air,158,130,96,169,30,35,0,34,26,1
air,137,95,87,135,75,35,0,34,26,1
air,162,98,88,138,40,35,0,34,70,1
air,136,102,97,142,30,35,0,34,70,1
air,116,125,105,165,40,53,0,44,45,2
air,122,125,100,130,45,53,0,44,8,2
air,127,104,108,143,20,35,0,34,70,1
air,105,120,101,160,60,53,0,44,26,2
air,60,69,49,70,40,35,0,34,50,1
air,82,72,52,68,50,53,0,44,10,3
air,114,130,97,169,75,35,0,34,30,1
air,88,137,115,177,90,53,0,44,60,2
air,118,135,97,156,85,53,0,44,30,4
train,73,71,49,64,69,35,0,15,30,1
train,72,88,60,74,64,53,0,30,50,2
train,56,73,53,66,64,53,0,15,6,4
train,126,140,146,126,69,35,0,30,30,1
train,137,151,146,119,69,35,0,45,12,1
train,136,182,149,170,64,53,0,10,36,2
train,133,144,134,145,69,35,0,40,30,1
train,106,170,146,196,64,53,0,50,35,3
train,126,144,152,140,69,35,0,40,6,1
train,170,187,178,160,64,53,0,25,6,1
train,125,186,154,169,64,53,0,25,8,2
train,118,132,128,109,69,35,0,5,6,1
train,141,180,152,193,64,53,0,75,12,2
bus,117,116,146,189,69,10,0,34,30,1
car,144,222,172,269,64,53,0,44,35,2
bus,127,131,146,191,69,45,0,34,35,1
train,117,186,151,193,64,53,0,40,60,3
train,143,182,155,191,64,53,0,45,60,2
train,138,190,163,85,64,53,0,40,12,2
train,122,144,139,113,69,35,0,30,10,1
train,131,161,147,113,69,35,0,25,10,1
train,126,135,141,114,69,35,0,75,15,1
train,148,189,153,211,64,53,0,30,10,2
train,125,178,186,200,64,53,0,50,8,1
train,116,134,132,167,69,35,0,30,30,1
car,137,191,135,195,64,53,0,44,20,2
car,98,182,228,203,64,53,0,44,70,5
bus,125,128,130,187,69,30,0,34,20,1
bus,148,163,147,205,69,60,0,34,60,1
car,59,75,32,78,64,53,0,44,70,4
train,69,57,53,46,69,35,0,1,8,1
train,72,71,44,97,69,35,0,25,30,1
air,86,120,104,160,25,53,0,44,70,2
train,67,72,49,68,69,35,0,10,60,1
car,77,68,41,70,64,53,0,44,20,2
train,69,70,48,51,69,35,0,10,15,1
car,77,80,46,85,64,53,0,44,30,2
train,71,85,58,80,64,53,0,20,26,2
train,58,72,52,74,64,53,0,20,35,4
train,71,71,54,67,69,35,0,10,12,1
car,100,120,70,160,64,53,0,44,70,2
air,158,84,58,83,30,53,0,44,50,1
air,136,186,154,233,45,53,0,44,40,2
air,103,109,94,149,30,35,0,34,70,1
bus,77,64,51,61,69,5,0,34,10,1
air,197,150,136,196,45,35,0,34,26,1
bus,129,201,156,223,64,40,0,44,50,3
car,123,190,135,223,64,53,0,44,70,3
bus,71,64,61,72,69,15,0,34,30,1
car,99,180,122,201,64,53,0,44,50,5
car,68,57,46,55,69,35,0,34,20,1
car,133,177,167,223,64,53,0,44,32,2
car,136,185,238,231,64,53,0,44,27,2
